id;all_lowercase_regex;name_integer;name_long;name_big_decimal;name_float;name_double;name_boolean;name_local_date;name_zoned_date_time;name_instant;name_blob;name_blob_content_type;name_any_blob;name_any_blob_content_type;name_image_blob;name_image_blob_content_type;name_text_blob
28;"q";81;99;72;84;55;false;2011-11-10;2011-11-10T22:36:42;2011-11-10T23:00:47;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
29;"rvlo";86;71;49;23;63;false;2011-11-10;2011-11-10T18:44:49;2011-11-10T08:25:30;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
30;"xvidjd";66;91;71;78;50;false;2011-11-10;2011-11-10T15:20:17;2011-11-10T09:38:15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
31;"tnijc";38;13;54;61;88;true;2011-11-10;2011-11-10T21:01:53;2011-11-10T09:09:59;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
32;"icmoqj";22;16;46;84;24;true;2011-11-10;2011-11-10T21:55:28;2011-11-10T16:29:37;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
33;"uyyf";77;60;21;35;20;false;2011-11-10;2011-11-10T18:35:14;2011-11-10T11:09:04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
34;"xwuqeh";39;98;61;60;69;true;2011-11-10;2011-11-10T04:39:19;2011-11-10T04:04:29;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
35;"xukl";39;87;67;92;42;false;2011-11-10;2011-11-10T01:42:42;2011-11-10T16:46:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
36;"fiix";27;85;31;11;92;false;2011-11-10;2011-11-10T01:03:50;2011-11-10T00:16:22;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
37;"nddgql";78;90;67;49;100;false;2011-11-10;2011-11-10T22:08:03;2011-11-10T14:42:06;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
38;"rxlju";24;86;71;38;45;false;2011-11-10;2011-11-10T14:35:26;2011-11-10T14:58:12;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
39;"lgd";98;90;71;48;83;true;2011-11-10;2011-11-10T14:38:37;2011-11-10T04:02:59;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
40;"dxs";32;60;90;40;62;true;2011-11-10;2011-11-10T19:50:40;2011-11-10T09:06:11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
41;"kgjr";86;33;98;81;39;false;2011-11-10;2011-11-10T14:49:28;2011-11-10T23:22:12;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
42;"gplbm";38;81;76;53;69;false;2011-11-10;2011-11-10T10:39:12;2011-11-10T09:23:00;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
43;"iecdv";53;11;55;53;25;false;2011-11-10;2011-11-10T12:12:10;2011-11-10T11:20:03;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
44;"wtwl";35;64;83;80;59;true;2011-11-10;2011-11-10T23:05:41;2011-11-10T06:06:03;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
45;"uzwu";74;84;45;77;40;true;2011-11-10;2011-11-10T17:14:51;2011-11-10T21:38:40;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
46;"ti";77;96;29;70;97;false;2011-11-10;2011-11-10T09:33:19;2011-11-10T19:32:47;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
47;"yi";37;55;75;16;23;false;2011-11-10;2011-11-10T15:20:49;2011-11-10T06:04:24;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
48;"hgxeal";60;66;55;99;39;true;2011-11-10;2011-11-10T09:09:54;2011-11-10T05:56:48;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
49;"b";67;58;30;11;49;false;2011-11-10;2011-11-10T21:01:09;2011-11-10T09:19:32;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
50;"acqci";13;29;60;20;78;true;2011-11-10;2011-11-10T16:59:02;2011-11-10T17:31:47;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
51;"na";90;99;89;70;25;false;2011-11-10;2011-11-10T19:49:48;2011-11-10T15:51:49;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
52;"kub";28;32;10;83;49;false;2011-11-10;2011-11-10T12:30:26;2011-11-10T21:59:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
53;"qqcuza";67;78;17;62;15;true;2011-11-10;2011-11-10T13:50:28;2011-11-10T16:34:38;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
54;"yx";58;48;97;37;25;true;2011-11-10;2011-11-10T14:42:46;2011-11-10T08:15:10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
55;"rkzr";85;63;19;54;58;false;2011-11-10;2011-11-10T21:25:11;2011-11-10T07:28:25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
